,School Level,School Name,Zip Code,Rank,Great schools rating,Total Enrollment,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Students with Disabilities
0,Elementary School,A. Z. Kelley Elementary,37013,4.0,Below Average,745,10%,14%,37%,25%,10%,24%,11%
1,Elementary School,Alex Green Elementary,37189,3.0,Below Average,313,10%,10%,83%,10%,10%,7%,12%
2,Elementary School,Amqui Elementary,37115,5.0,Average,445,10%,10%,43%,46%,10%,10%,9%
3,Elementary School,Andrew Jackson Elementary,37138,7.0,Above Average,409,10%,6%,29%,16%,10%,49%,13%
4,High School,Antioch High School,37013,2.0,Below Average,1894,10%,5%,35%,44%,10%,17%,11%
5,Middle School,Antioch Middle,37013,4.0,Below Average,684,10%,7%,34%,45%,10%,13%,12%
6,Middle School,Apollo Middle,37013,2.0,Below Average,790,10%,5%,27%,53%,10%,14%,12%
7,Middle School,Bellevue Middle,37221,3.0,Below Average,592,10%,5%,34%,13%,10%,47%,18%
8,Elementary School,Bellshire Elementary,37207,4.0,Below Average,310,10%,10%,81%,13%,10%,6%,16%
9,Charter,Brick Church College Prep,37207,4.0,Below Average,325,10%,10%,82%,13%,10%,5%,17%
10,Elementary School,Cambridge Early Learning Center,37013,,Unranked,100,10%,10%,62%,11%,10%,25%,14%
11,Elementary School,Cane Ridge Elementary,37013,6.0,Average,630,10%,5%,49%,25%,10%,23%,8%
12,High School,Cane Ridge High School,37013,2.0,Below Average,1806,10%,8%,40%,35%,10%,18%,12%
13,Elementary School,Carter-Lawrence Elementary,37203,4.0,Below Average,202,10%,10%,82%,8%,10%,7%,12%
14,Elementary School,Casa Azafran Early Learning Center,37211,,Unranked,49,10%,10%,22%,33%,10%,41%,27%
15,Elementary School,Chadwell Elementary,37115,4.0,Below Average,289,10%,10%,54%,37%,10%,9%,12%
16,Elementary School,Charlotte Park Elementary,37209,4.0,Below Average,470,10%,9%,18%,57%,10%,16%,11%
17,Elementary School,Cockrill Elementary,37209,4.0,Below Average,248,10%,10%,53%,31%,10%,15%,18%
18,Elementary School,Cole Elementary,37013,4.0,Below Average,827,10%,12%,10%,67%,10%,12%,9%
19,Special Education,Cora Howe School,37206,,Unranked,73,10%,10%,68%,10%,10%,26%,95%
20,Middle School,Creswell Middle School of the Arts,37218,3.0,Below Average,305,10%,10%,89%,6%,10%,6%,11%
21,Elementary School,Crieve Hall Elementary,37220,7.0,Above Average,415,10%,22%,5%,25%,10%,47%,5%
22,Middle School,Croft Middle,37211,3.0,Below Average,739,10%,5%,19%,51%,10%,27%,11%
23,Elementary School,Cumberland Elementary,37218,5.0,Average,390,10%,10%,82%,9%,10%,8%,15%
24,Elementary School,Dan Mills Elementary,37216,7.0,Above Average,544,10%,10%,15%,19%,10%,64%,11%
25,Elementary School,Dodson Elementary,37076,4.0,Below Average,387,10%,10%,53%,19%,10%,26%,19%
26,Middle School,Donelson Middle,37214,4.0,Below Average,727,10%,10%,46%,21%,10%,32%,16%
27,Elementary School,Dupont Elementary,37138,3.0,Below Average,314,10%,10%,28%,16%,10%,54%,13%
28,Middle School,Dupont-Hadley Middle,37138,4.0,Below Average,564,10%,5%,34%,11%,10%,53%,17%
29,Middle School,Dupont-Tyler Middle,37076,2.0,Below Average,517,10%,5%,46%,26%,10%,25%,16%
30,Elementary School,Eagle View Elementary,37013,6.0,Average,645,10%,5%,54%,29%,10%,14%,11%
31,Elementary School,Eakin Elementary,37212,7.0,Above Average,456,10%,11%,38%,6%,10%,44%,13%
