,Park Name,Zip Codes,Acres,Community Center,Nature Center,Playground,ADA Accessible,Restrooms Available,Dog Park,Baseball Fields,Basketball Courts,Soccer Fields,Football & Multi-purpose Fields,Tennis Courts,Disc Golf,Swimming Pool,Golf Course,Walk & Jog Paths,Historic Features,Mapped Location,Lat,Lng
0,Antioch Park,37013,7.98,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"5023 Blue Hole Rd Antioch, TN 37013 ",36.055271,-86.672392
1,Cane Ridge Park,37013,274.13,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,"419 Battle Rd Antioch, TN 37013 ",35.994965,-86.624342
2,Cecil Rhea Crawford Park,37013,6.25,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,"6043 Cane Ridge Rd Antioch, TN 37013 ",36.001427,-86.636764
4,Southeast Community Center Park,37013,12.14,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,"5260 Hickory Hollow Pkwy Antioch, TN 37013 ",36.048466,-86.657263
5,William A. Pitts Park,37013,26.94,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"299 Tusculum Rd Nashville, TN ",36.059541,-86.706819
6,Alvin G. Beaman Park,37015,2168.79,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"5911 Old Hickory Blvd Nashville, TN ",36.260013,-86.893379
7,Lakewood Park,37018,4.4,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"319 Pitts Ave Old Hickory, TN 37138 ",36.238635,-86.634883
8,Granbery Park,37027,6.95,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,"5501 Hill Rd Brentwood, TN 37027 ",36.047628,-86.752404
9,Hermitage Park,37076,22.19,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,"3720 James Kay Lane Hermitage, TN 37076 ",36.177632,-86.616154
11,Stone Hall Park,37076,9.76,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"1014 Stones River Rd Hermitage, TN 37076 ",36.186978,-86.632847
12,Joelton Park,37080,18.38,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,"21 Joelton Community Center Rd Joelton, TN 37080 ",36.316932,-86.870111
13,Paradise Ridge Park,37080,98.41,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,"3000 Morgan Rd Joelton, TN 37080 ",36.335583,-86.85995
14,Cedar Hill,37115,321.46,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,"860 West Old Hickory Blvd Nashville, TN ",36.268774,-86.753417
15,E. N. Peeler Park,37115,649.71,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"2271 Neelys Bend Rd Madison, TN 37115 ",36.196145,-86.663721
16,Madison Park,37115,30.74,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,"510 Cumberland Ave Madison, TN 37115 ",36.267037,-86.702334
17,12th Street Ball Field,37138,2.39,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"1201 Elliston St Old Hickory, TN 37138 ",36.258841,-86.649694
24,Whites Creek Park,37189,19.7,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,"7277 Old Hickory Blvd Whites Creek, TN ",36.276274,-86.818464
25,Commerce Center Park,37201,0.31,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"120 3rd Ave N Nashville, TN ",36.162082,-86.776312
26,Riverfront Park,37201,12.54,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,"310 1st Ave S Nashville, TN ",36.159082,-86.772376
27,Centennial Park,37203,125.14,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,"2500 West End Ave Nashville, TN ",36.146893,-86.808533
28,Dallas H. Neil Park,37203,1.32,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"1910 8th Ave South Nashville, TN ",36.1346,-86.779067
29,E. S. Rose Park,37203,25.08,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,"1000 Edgehill Ave Nashville, TN ",36.141827,-86.783089
30,Fort Negley,37203,57.39,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"1100 Fort Negley Blvd Nashville, TN ",36.142555,-86.775798
31,Owen Bradley Park,37203,0.59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"1 Music Square E at Division St Nashville, TN ",36.151544,-86.791652
32,Reservoir Park,37203,15.9,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,"824 Argyle Ave Nashville, TN ",36.136372,-86.778882
33,Tony Rose Park,37203,2.31,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,"8 Music Circle East Nashville, TN ",36.150772,-86.789662
34,Walk of Fame Park,37203,2.67,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"121 4th Ave S Nashville, TN ",36.160067,-86.776551
35,Watkins Park,37203,8.12,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,"616 17th Ave North Nashville, TN ",36.16284,-86.800901
36,William Edmondson Park,37203,0.86,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"1700 Charlotte Ave Nashville, TN ",36.158653,-86.798519
37,Browns Creek Park,37204,0.35,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"817 PARK TER Nashville, TN ",36.113979,-86.776404
