Parcel ID,Land Use,Property Address,Property City,Zip Code,Sale Price,Legal Reference,Finished Area,Bedrooms,Full Bath,Half Bath
162 02 0A 008.00,SINGLE FAMILY,744  HILL BENNETT CIR,ANTIOCH,37013,134825,20130108-0002492,,,,
162 06 0 012.00,SINGLE FAMILY,152  TUSCULUM RD,ANTIOCH,37013,109900,20130124-0007776,1247.0,3.0,1.0,1.0
162 13 0A 015.00,SINGLE FAMILY,2321  GREEN TRAILS CT,ANTIOCH,37013,152950,20130108-0002487,,,,
173 04 0A 202.00,SINGLE FAMILY,5224  RIDGEFALLS WAY,ANTIOCH,37013,195000,20130122-0007001,,,,
173 04 0A 274.00,SINGLE FAMILY,5457  OAK CHASE DR,ANTIOCH,37013,230000,20130128-0008839,,,,
173 08 0A 094.00,VACANT RES LAND,2116  SKYGLEN TRCE,ANTIOCH,37013,105000,20130122-0006829,,,,
173 08 0A 119.00,VACANT RES LAND,3045  BLUFFHOLLOW GAP,ANTIOCH,37013,45000,20130130-0009576,,,,
173 08 0A 141.00,VACANT RES LAND,3040  BLUFFHOLLOW GAP,ANTIOCH,37013,105000,20130122-0006829,,,,
173 08 0A 142.00,VACANT RES LAND,3036  BLUFFHOLLOW GAP,ANTIOCH,37013,105000,20130122-0006829,,,,
173 09 0B 019.00,SINGLE FAMILY,4105  BARNES COVE CT,ANTIOCH,37013,225000,20130118-0006233,,,,
173 09 0B 094.00,VACANT RES LAND,4116  BARNES COVE CT,ANTIOCH,37013,35000,20130108-0002570,,,,
173 09 0B 100.00,VACANT RES LAND,4117  BARNES COVE CT,ANTIOCH,37013,35000,20130108-0002555,,,,
173 10 0C 009.00,SINGLE FAMILY,136  BLACKPOOL DR,ANTIOCH,37013,207000,20130117-0005625,,,,
173 11 0A 086.00,SINGLE FAMILY,905  SPRINGS HILL WAY,ANTIOCH,37013,162000,20130111-0003874,,,,
174 01 0A 104.00,SINGLE FAMILY,1085  SHIRE DR,ANTIOCH,37013,171990,20130122-0006560,,,,
181 02 0A 061.00,RESIDENTIAL CONDO,8231  LENOX CREEKSIDE DR,ANTIOCH,37013,135500,20130116-0005316,,,,
