SalePrice,Acreage,FinishedArea,YearBuilt,Bedrooms,FullBath,HalfBath,Parks Per Zip,Acres of Parks Per Zip,ADA Park in Zip,Sports Fields in Zip,Walk Path in Zip,37013,37027,37076,37080,37115,37138,37189,37204,37205,37215
109900,0.28,1247,1968,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
123900,0.29,1515,1979,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
107000,0.3,1087,1987,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
144900,0.27,1688,2001,3,2,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
147362,0.23,2193.5,1988,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
82620,0.34,1632,1972,3,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
86500,0.21,1200,1978,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
95000,0.21,2150,1980,5,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
132000,0.23,1840,1993,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
59000,0.2,1172,1985,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
35000,0.14,1152,1985,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
108000,0.37,1991,1987,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
138200,0.31,1958,1987,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
133000,0.29,1712,1987,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
123500,0.23,1474,1980,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
53150,0.23,1372,1983,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
64900,0.09,1228,1985,2,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
85000,0.26,1266,1970,3,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
87000,0.24,1650,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
119000,0.25,2000,1973,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
146000,0.27,1872,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
130000,0.25,1250,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
124000,0.24,1204,1987,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
85000,0.24,1050,1967,2,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
113900,0.22,1623,1991,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
25000,0.16,1224,1978,3,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
85000,0.2,1560,1978,2,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
130000,0.25,1632,1997,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
142900,0.23,1669,1999,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
95000,0.32,1360,1974,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
100000,0.27,1741,1977,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
149999,0.29,2138,1976,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
101900,0.44,1612,1984,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
85000,0.24,1650,1980,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
53000,0.13,1116,1985,2,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
104900,0.24,1612,1978,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
124900,0.21,1243,1991,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
101000,0.19,1209,1990,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
93500,0.23,1100,1992,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
75000,0.24,1521,1994,4,2,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
98000,0.23,1104,1995,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
175088,0.32,2394,1998,4,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
107000,0.23,1792,1988,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
115000,0.55,1367,1977,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
148500,0.27,1834,1999,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
131000,0.23,1650,1978,4,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
139000,0.25,1852,1979,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
120000,0.23,1344,1987,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
118500,0.28,1332,1974,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
128000,0.24,1857,1980,4,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
127000,0.35,1511,1984,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
130000,0.27,1593,1984,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
89000,0.23,1392,1986,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
109900,0.23,1110,1987,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
115000,0.18,1601,1984,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
126000,0.26,1946,1975,2,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
110000,0.28,1342,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
122000,0.43,2288,1968,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
121303,0.23,2400,1971,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
131000,0.3,1527.5,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
92500,0.24,1400,1975,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
120000,0.41,2392,1972,4,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
120000,0.52,2392,1972,4,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
119382,0.24,1304,1988,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
55000,0.12,754,1984,2,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
128200,0.25,1208,2004,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
122500,0.25,1850,1975,2,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
110000,0.25,1196,1979,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
118000,0.29,1444,1980,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
120000,0.23,1372,1983,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
123700,0.24,1716,1984,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
129921,0.24,1716,1983,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
62000,0.11,1213,1983,2,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
125500,0.23,1664,1987,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
134000,0.3,1800,1985,4,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
109995,0.27,1661,1978,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
98000,0.24,1550,1983,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
112000,0.23,1304,1980,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
107000,0.2,1500,1982,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
131000,0.21,1247,2000,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
112900,0.24,1521,1992,3,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
119000,0.23,1480,1997,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
146000,0.28,1554,1996,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
122900,0.24,1521,1994,4,2,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
62000,0.17,1323,1985,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
68000,0.94,1565,1936,4,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
129921,0.33,1490,1967,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
109000,0.29,1800,1969,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
55000,0.25,1100,1972,3,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
115000,0.19,1650,1974,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
78000,0.18,2160,1973,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
99000,0.29,1650,1976,2,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
80000,0.35,1925.51996,1960,3,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
133000,0.34,2047.42004,1971,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
113000,0.32,1825,1969,3,1,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
124983,0.45,1456,1976,3,1,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
120000,0.37,1950,1975,2,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
249900,0.46,2552,2012,5,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
119900,0.32,1306,1975,4,2,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
129900,0.23,1593,1987,3,2,1,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
169900,0.31,2238,1985,4,3,0,5,327.44,True,True,True,1,0,0,0,0,0,0,0,0,0
