School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
20-21,Elementary School,496,A. Z. Kelley Elementary,0001,37013,4,Below Average,745,,< 5%,20%,18%,19%,19%,20%,,,,,,,,,10%,14%,37%,25%,10%,24%,53%,47%,37%,11%,38%,06/01/2021
20-21,Elementary School,375,Alex Green Elementary,0005,37189,3,Below Average,313,,5%,20%,18%,20%,19%,18%,,,,,,,,,10%,10%,83%,10%,10%,7%,48%,52%,74%,12%,16%,06/01/2021
20-21,Elementary School,105,Amqui Elementary,0010,37115,5,Average,445,,6%,20%,18%,19%,16%,21%,,,,,,,,,10%,10%,43%,46%,10%,10%,50%,50%,58%,9%,34%,06/01/2021
20-21,Elementary School,460,Andrew Jackson Elementary,0015,37138,7,Above Average,409,< 10,6%,16%,22%,19%,18%,19%,,,,,,,,,10%,6%,29%,16%,10%,49%,52%,48%,25%,13%,9%,06/01/2021
20-21,High School,110,Antioch High School,0020,37013,2,Below Average,1894,,,,,,,,,,,,26%,26%,26%,22%,10%,5%,35%,44%,10%,17%,53%,47%,38%,11%,35%,06/01/2021
20-21,Middle School,111,Antioch Middle,0023,37013,4,Below Average,684,,,,,,,,,27%,36%,37%,,,,,10%,7%,34%,45%,10%,13%,52%,48%,48%,12%,46%,06/01/2021
20-21,Middle School,577,Apollo Middle,0025,37013,2,Below Average,790,,,,,,,,22%,23%,26%,29%,,,,,10%,5%,27%,53%,10%,14%,51%,49%,47%,12%,48%,06/01/2021
20-21,Middle School,130,Bellevue Middle,0040,37221,3,Below Average,592,,,,,,,,23%,22%,28%,27%,,,,,10%,5%,34%,13%,10%,47%,52%,48%,35%,18%,10%,06/01/2021
20-21,Elementary School,135,Bellshire Elementary,0045,37207,4,Below Average,310,< 5%,5%,18%,20%,20%,18%,15%,,,,,,,,,10%,10%,81%,13%,10%,6%,52%,48%,70%,16%,12%,06/01/2021
20-21,Charter,118,Brick Church College Prep,0118,37207,4,Below Average,325,,,,,,,,17%,25%,28%,30%,,,,,10%,10%,82%,13%,10%,5%,48%,52%,77%,17%,21%,06/01/2021
