,School Year,School Level,School ID,School Name,State School ID,Zip Code,Rank,Great schools rating,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf
0,20-21,Elementary School,496,A. Z. Kelley Elementary,1,37013,4.0,Below Average,745,,< 5%,20%,18%,19%,19%,20%,,,,,,,,,10%,14%,37%,25%,10%,24%,53%,47%,37%,11%,38%,06/01/2021
1,20-21,Elementary School,375,Alex Green Elementary,5,37189,3.0,Below Average,313,,5%,20%,18%,20%,19%,18%,,,,,,,,,10%,10%,83%,10%,10%,7%,48%,52%,74%,12%,16%,06/01/2021
2,20-21,Elementary School,105,Amqui Elementary,10,37115,5.0,Average,445,,6%,20%,18%,19%,16%,21%,,,,,,,,,10%,10%,43%,46%,10%,10%,50%,50%,58%,9%,34%,06/01/2021
3,20-21,Elementary School,460,Andrew Jackson Elementary,15,37138,7.0,Above Average,409,< 10,6%,16%,22%,19%,18%,19%,,,,,,,,,10%,6%,29%,16%,10%,49%,52%,48%,25%,13%,9%,06/01/2021
4,20-21,High School,110,Antioch High School,20,37013,2.0,Below Average,1894,,,,,,,,,,,,26%,26%,26%,22%,10%,5%,35%,44%,10%,17%,53%,47%,38%,11%,35%,06/01/2021
5,20-21,Middle School,111,Antioch Middle,23,37013,4.0,Below Average,684,,,,,,,,,27%,36%,37%,,,,,10%,7%,34%,45%,10%,13%,52%,48%,48%,12%,46%,06/01/2021
6,20-21,Middle School,577,Apollo Middle,25,37013,2.0,Below Average,790,,,,,,,,22%,23%,26%,29%,,,,,10%,5%,27%,53%,10%,14%,51%,49%,47%,12%,48%,06/01/2021
7,20-21,Middle School,130,Bellevue Middle,40,37221,3.0,Below Average,592,,,,,,,,23%,22%,28%,27%,,,,,10%,5%,34%,13%,10%,47%,52%,48%,35%,18%,10%,06/01/2021
8,20-21,Elementary School,135,Bellshire Elementary,45,37207,4.0,Below Average,310,< 5%,5%,18%,20%,20%,18%,15%,,,,,,,,,10%,10%,81%,13%,10%,6%,52%,48%,70%,16%,12%,06/01/2021
9,20-21,Charter,118,Brick Church College Prep,118,37207,4.0,Below Average,325,,,,,,,,17%,25%,28%,30%,,,,,10%,10%,82%,13%,10%,5%,48%,52%,77%,17%,21%,06/01/2021
10,20-21,Elementary School,419,Cambridge Early Learning Center,7005,37013,,Unranked,100,,> 95%,,,,,,,,,,,,,,10%,10%,62%,11%,10%,25%,55%,45%,42%,14%,22%,06/01/2021
11,20-21,Elementary School,184,Cane Ridge Elementary,82,37013,6.0,Average,630,,5%,16%,17%,16%,18%,16%,12%,,,,,,,,10%,5%,49%,25%,10%,23%,52%,48%,41%,8%,37%,06/01/2021
12,20-21,High School,182,Cane Ridge High School,77,37013,2.0,Below Average,1806,,,,,,,,,,,,26%,24%,24%,25%,10%,8%,40%,35%,10%,18%,52%,48%,37%,12%,31%,06/01/2021
13,20-21,Elementary School,185,Carter-Lawrence Elementary,670,37203,4.0,Below Average,202,,< 10,13%,17%,18%,23%,25%,,,,,,,,,10%,10%,82%,8%,10%,7%,47%,53%,57%,12%,11%,06/01/2021
14,20-21,Elementary School,186,Casa Azafran Early Learning Center,7020,37211,,Unranked,49,< 10,86%,,,,,,,,,,,,,,10%,10%,22%,33%,10%,41%,63%,37%,10%,27%,10%,06/01/2021
15,20-21,Elementary School,200,Chadwell Elementary,105,37115,4.0,Below Average,289,,< 5%,24%,21%,15%,17%,20%,,,,,,,,,10%,10%,54%,37%,10%,9%,50%,50%,55%,12%,29%,06/01/2021
16,20-21,Elementary School,205,Charlotte Park Elementary,110,37209,4.0,Below Average,470,< 10,5%,19%,19%,18%,19%,19%,,,,,,,,,10%,9%,18%,57%,10%,16%,54%,46%,35%,11%,54%,06/01/2021
17,20-21,Elementary School,215,Cockrill Elementary,120,37209,4.0,Below Average,248,< 10,6%,17%,22%,17%,18%,17%,,,,,,,,,10%,10%,53%,31%,10%,15%,46%,54%,60%,18%,24%,06/01/2021
18,20-21,Elementary School,225,Cole Elementary,130,37013,4.0,Below Average,827,,6%,15%,17%,16%,18%,16%,12%,,,,,,,,10%,12%,10%,67%,10%,12%,52%,48%,41%,9%,63%,06/01/2021
19,20-21,Special Education,448,Cora Howe School,443,37206,,Unranked,73,,,,,< 10,< 10,< 10,< 10,< 10,14%,< 10,15%,< 10,< 10,15%,10%,10%,68%,10%,10%,26%,85%,15%,51%,95%,10%,06/01/2021
20,20-21,Middle School,783,Creswell Middle School of the Arts,700,37218,3.0,Below Average,305,,,,,,,,20%,27%,29%,25%,,,,,10%,10%,89%,6%,10%,6%,39%,61%,49%,11%,10%,06/01/2021
21,20-21,Elementary School,235,Crieve Hall Elementary,145,37220,7.0,Above Average,415,,,24%,20%,20%,19%,17%,,,,,,,,,10%,22%,5%,25%,10%,47%,48%,52%,11%,5%,31%,06/01/2021
22,20-21,Middle School,238,Croft Middle,148,37211,3.0,Below Average,739,,,,,,,,27%,22%,27%,24%,,,,,10%,5%,19%,51%,10%,27%,50%,50%,33%,11%,42%,06/01/2021
23,20-21,Elementary School,240,Cumberland Elementary,150,37218,5.0,Average,390,,,18%,20%,17%,23%,22%,,,,,,,,,10%,10%,82%,9%,10%,8%,50%,50%,74%,15%,6%,06/01/2021
24,20-21,Elementary School,560,Dan Mills Elementary,160,37216,7.0,Above Average,544,< 10,< 5%,17%,19%,20%,20%,18%,,,,,,,,,10%,10%,15%,19%,10%,64%,49%,51%,22%,11%,14%,06/01/2021
25,20-21,Elementary School,252,Dodson Elementary,165,37076,4.0,Below Average,387,< 10,7%,19%,14%,24%,17%,18%,,,,,,,,,10%,10%,53%,19%,10%,26%,49%,51%,54%,19%,15%,06/01/2021
26,20-21,Middle School,260,Donelson Middle,175,37214,4.0,Below Average,727,,,,,,,,23%,24%,26%,27%,,,,,10%,10%,46%,21%,10%,32%,50%,50%,50%,16%,20%,06/01/2021
27,20-21,Elementary School,265,Dupont Elementary,180,37138,3.0,Below Average,314,< 10,7%,21%,18%,19%,18%,17%,,,,,,,,,10%,10%,28%,16%,10%,54%,54%,46%,44%,13%,9%,06/01/2021
