Restaurant Name,Neighborhood,Address,ZIP Code,Description
12 South Taproom,12 South,2318 12th Avenue South,37204,TAPROOM & GRILL
Bartaco,12 South,2526 12th Avenue South,37204,TACOS & TEQUILA RESTAURANT
Bottle Cap,12 South,2403 12th Avenue South,37204,NEIGHBORHOOD RESTAURANT AND BAR
Burger UP,12 South,2901 12th Avenue South,37204,BURGER RESTAURANT
Christie Cookie Co.,12 South,2606 12th Avenue South,37204,COOKIE STORE
Edley's Bar-B-Que,12 South,2706 12th Avenue South,37204,FAST-CASUAL BARBECUE
Embers Ski Lodge,12 South,2410 12th Avenue South,37204,BAR & RESTAURANT
Emery,12 South,2500 12th Avenue South,37204,"WOOD-FIRED CUISINE, STEAKS, SEAFOOD, AND ELEVATED CUISINE"
Epice,12 South,2902 12th Avenue South,37204,LEBANESE BISTRO
Five Daughters Bakery,12 South,1110 Caruthers Avenue,37204,PASTRY SHOP
Franklin Juice Co.,12 South,2301 12th Avenue South,37204,"ORGANIC JUICES, AÇAÍ BOWLS, COFFEE"
Frothy Monkey,12 South,2509 12th Avenue South,37204,COFFEE HOUSE & EATERY
Insert Chef Here,12 South,"2905 12th Ave South, Suite 104",37204,POP-UP CHEFS
Josephine,12 South,2316 12th Avenue South,37204,AMERICAN FARMHOUSE CUISINE
Ladybird Taco,12 South,2229 10th Avenue South,37204,FAST-CASUAL BREAKFAST & LUNCH TACO RESTAURANT
Locust,12 South,2305 12th Avenue South,37204,RESTAURANT & BAR FEATURING SHAVED ICE AND DUMPLINGS
MAFIAoZA's,12 South,2400 12th Avenue South,37204,PIZZERIA & PUB
Portland Brew,12 South,2605 12th Avenue South,37204,COFFEE SHOP
Taqueria del Sol,12 South,2317 12th Avenue South,37204,SOUTHERN MEXICAN
The Filling Station,12 South,1118 Halcyon Avenue,37204,TAPROOM AND BEER-TO-GO
Urban Grub,12 South,2506 12th Avenue South,37204,FRESH FISH & FINE AGED MEATS
Jeni's,12 South,2312 12th Avenue South,37204,SPLENDID ICE CREAM
White Bison Coffee,12 South,2607 12th Avenue South,37204,COFFEE SHOP AND TWICE DAILY NEIGHBORHOOD MARKET
Baked on 8th,8th Ave S,1512 8th Avenue South,37203,BAKERY + DESSERT SHOP
The Basement,8th Ave S,"1604 8th Ave S, Suite 330",37203,MUSIC VENUE & BAR
Cilantro,8th Ave S,2330 Franklin Pike,37204,MEXICAN GRILL & TEQUILA BAR
8th & Roast,8th Ave S,2108A 8th Avenue South,37204,COFFEEHOUSE & CRAFT COFFEE ROASTER
"Love, Peace & Pho",8th Ave S,2112 8th Ave S,37204,AUTHENTIC VIETNAMESE CUISINE
The Smiling Elephatn,8th Ave S,2213 8th Avenue South,37204,THAI CUISINE
The Urban Juicer,8th Ave S,2206 8th Ave South,37216,JUICE BAR
Zanies Comedy Club,8th Ave S,2025 8th Ave S,37204,COMEDY CLUB
Zushi-Poke,8th Ave S,2407 8th Avenue South,37204,FRESH HAWAIIAN-STYLE POKÉ BOWLS
615 Deli,Belmont Blvd,1703B Portland Avenue,37212,BREAKFAST & SANDWICHES
Athens Family Restaurant,Belmont Blvd,2017 Belmont Boulevard,37212,GREEK DINER
Bongo Java,Belmont Blvd,2007 Belmont Blvd,37212,COFFEEHOUSE/RESTAURANT
Chago's Cantina,Belmont Blvd,2015 Belmont Boulevard,37212,MEXICAN AND LATIN AMERICAN RESTAURANT
Chatime,Belmont Blvd,1703 Portland Avenue,37212,BUBBLE TEA + RAMEN BAR
International Market & Restaurnat,Belmont Blvd,2013 Belmont Blvd,37212,THAI & ASIAN FUSION
Martin's Bar-B-Que Joint,Belmont Blvd,3108 Belmont Blvd,37212,BARBECUE RESTAURANT
Osbourne's Bi Rite,Belmont Blvd,3116 Belmont Blvd,37212,CONVENIENCE / GROCERY STORE
Proper Bagel,Belmont Blvd,2011 Belmont Boulevard,37212,BAGEL & SANDWICH EATERY
Aleksey's,Berry Hill,718 Thompson Lane,37204,RUSSIAN & EASTERN EUROPEAN MARKET
Baja Burrito,Berry Hill,722 Thompson Ln,37204,MEXICAN RESTAURANT
Big Machine Distillery & Tavern,Berry Hill,2824 Bransford Avenue,37204,BAR & TAVERN
Brothers' Burger Joint,Berry Hill,2821 Bransford Ave Berry Hill,37204,RESTAURANT AND BAR
Monell's Café,Berry Hill,2826 Bransford Avenue,37204,SOUTHERN CUISINE
Calypso Café,Berry Hill,700 Thompson Lane,37204,
Hugh-Baby's,Berry Hill,718 Thompson Lane,37204,FAST-CASUAL BURGER RESTAURANT
Juice Bar,Berry Hill,522 Heather Place,37204,EXPRESS JUICE & SMOOTHIE BAR
Merengue Café,Berry Hill,654 West Iris Drive,37204,"DOMINICAN, PUERTO RICAN, AND CUBAN CUISINE"
Pfunky Griddle,Berry Hill,2800 Bransford Avenue,37204,SELF-COOKING RESTAURANT
Sam & Zoe's,Berry Hill,525 Heather Place,37204,"BREAKFAST, LUNCH & COFFEE"
Stay Golden,Berry Hill,"2934 Sidco Drive, Suite 130",37204,COFFEE SHOP
Sunflower Café,Berry Hill,2834 Azalea Place,37204,VEGETARIAN RESTAURANT
Vui's Kitchen,Berry Hill,2832 Bransford Avenue,37204,VIETNAMESE RESTAURANT
The Yellow Porch,Berry Hill,734 Thompson Lane,37204,
3000bar,Demonbreun Hill,1516 Demonbreun Street,37203,BAR
Dawghouse Saloon,Demonbreun Hill,1522 Demonbreun St,37203,BAR & GRILL
Just Love Coffee,Demonbreun Hill,1522 Demonbreun St,37203,"BREAKFAST, LUNCH, DINNER & COFFEE"
Little Chicago,Demonbreun Hill,1524A Demonbreun Street,37203,CHICAGO-INSPIRED CUISINE
Live Oak,Demonbreun Hill,1530 Demonbruen Street,37203,"LIVE MUSIC VENUE, SPORTS BAR, & RESTAURANT"
TailGate Brewery,Demonbreun Hill,1538 Demonbreun Street,37203,"BREWERY, TAPROOM & RESTAURANT"
Thai Esane,Demonbreun Hill,1520 Demonbreun Street,37203,THAI RESTAURANT
Tin Roof,Demonbreun Hill,1516 Demonbreun Street,37203,AMERICAN RESTAURANT
Two Bits,Demonbreun Hill,1520 Demonbreun Street,37203,AMERICAN BAR & RESTAURANT
Vibes Bar & Lounge,Demonbreun Hill,1524 Demonbreun Street,37203,BAR
417 Union,Downtown,417 Union Street,37219,CLASSIC AMERICAN
Acme Feed & Seed,Downtown,101 Broadway,37201,RESTAURANT & BAR
AJ's Good Time Bar,Downtown,421 Broadway,37203,HONKY TONK BAR
Alley Taps,Downtown,162 Printers Alley,37201,BAR
